"component","origin","license","copyright"
"jupyterlab-pygments","https://github.com/jupyterlab/jupyterlab_pygments","['BSD-3-Clause']","['Project Jupyter Contributors']"
"jupyterlab-server","https://github.com/jupyterlab/jupyterlab_server","['BSD-3-Clause']","['Project Jupyter Contributors']"
"jupyterlab-widgets","https://github.com/jupyter-widgets/ipywidgets","['BSD-3-Clause']","['Project Jupyter Contributors']"
"kiwisolver","https://github.com/nucleic/kiwi","['Modified BSD License']","['Nucleic Development Team']"
"lark","https://github.com/lark-parser/lark","['MIT']","['Erez Shinan']"
"lightning","https://github.com/Lightning-AI/pytorch-lightning","['Apache-2.0']","['- time.strftime', 'Lightning AI.', 'MathInf GmbH', 'The Lightning AI team', 'The PyTorch Lightning team and Microsoft Corporation', 'William Falcon']"
"lightning-utilities","https://github.com/Lightning-AI/utilities","['Apache-2.0']","['Lightning AI et al.']"
"markdown-it-py","https://github.com/executablebooks/markdown-it-py","['MIT']","['ExecutableBookProject']"
"matplotlib","https://github.com/matplotlib/matplotlib","['PSF-2.0']","['Adobe Systems Incorporated', 'American Mathematical Society', 'Andrew Straw', 'Bartosz Telenczuk', 'Basil K. Malyshev', 'Bitstream Inc.', 'Cambridge', 'Cynthia Brewer', 'Darren Dale', 'David Turner', 'Doug Hellmann', 'Elsevier', 'Eric Firing', 'Ethan Schoonover', 'Fredrik Lundh', 'Google Inc.', 'Hansruedi Baer', 'Jean-loup Gailly', ""Jeremy O'Donoghue and others"", 'John Gill', 'John Horigan', 'John Hunter', 'Kevin B. Kenny', 'Lucent Technologies', 'Mark Harrower', 'Matplotlib Development Team', 'Maxim Shemanarev', 'Michael Droettboom', 'MicroPress', 'Pierre Raybaut', 'Robert Wilhelm', 'Scriptics Corporation', 'Sun Microsystems', 'Tavmjung Bah', 'The Meson development team', 'The Pennsylvania State University', 'The Regents of the University of California', 'Tony Juricic', 'TyPoland Lukasz Dziedzic', 'Werner Lemberg', 'Xa9', 'the STI Pub Companies']"
"matplotlib-inline","https://github.com/ipython/matplotlib-inline","['BSD-3-Clause']","['IPython Development Team']"
"mdurl","https://github.com/executablebooks/mdurl","['MIT']","['Joyent, Inc. and other Node contributors', 'Taneli Hukkinen', 'Vitaly Puzrin, Alex Kocharin']"
"mistune","https://github.com/lepture/mistune","['BSD-3-Clause']","['Hsiaoming Yang']"
"mpmath","https://github.com/mpmath/mpmath","['BSD']","['Fredrik Johansson']"
"multidict","https://github.com/aio-libs/multidict","['Apache License 2.0']","['Andrew Svetlov']"
"multiprocess","https://github.com/uqfoundation/multiprocess","['BSD-3-Clause']","['Mike McKerns']"
"mypy","https://github.com/python/mypy","['MIT']","['Contributors to the pythoncapi_compat project.', 'Corporation for National Research Initiatives', 'D TypeAlias', 'Dropbox, Inc.', 'E Argument', 'E Cannot', 'E Incompatible', 'E Only', 'E Too', 'Google Inc.', 'Jukka Lehtosalo and contributors', 'Jukka Lehtosalo and mypy contributors', 'N Revealed', 'Python Software Foundation', 'Stichting Mathematisch Centrum Amsterdam', 'The Netherlands', 'The Pybind Development Team', 'mypyc team']"
"mypy-extensions","https://github.com/python/mypy_extensions","['MIT']","['Jukka Lehtosalo and contributors']"
"nbclient","https://github.com/jupyter/nbclient","['BSD-3-Clause License']","['Jupyter Development Team']"
"nbconvert","pypi:nbconvert","['BSD 3-Clause License']","['IPython Development Team', 'Jupyter Development Team']"
"nbformat","https://github.com/jupyter/nbformat","['BSD-3-Clause']","['IPython Development Team', 'Jupyter Development Team']"
"nest-asyncio","https://github.com/erdewit/nest_asyncio","['BSD']","['Ewald R. de Wit']"
"networkx","https://github.com/networkx/networkx","['BSD-3-Clause']","['NetworkX Developers Aric Hagberg Dan Schult']"
"notebook","https://github.com/jupyter/notebook","['BSD-3-Clause']","['IPython Development Team', 'Jupyter Development Team']"
"notebook-shim","pypi:notebook_shim","['BSD-3-Clause']","['Project Jupyter Contributors']"
"numpy","https://github.com/numpy/numpy","['BSD-2-Clause AND BSD-3-Clause']","['NumPy Developers.']"
"overrides","https://github.com/mkorpela/overrides","[' Version 2.0', 'Apache License']","['Mikko Korpela']"
"packaging","https://github.com/pypa/packaging","['BSD-3-Clause OR Apache-2.0']","['pypa']"
"pandas","https://github.com/pandas-dev/pandas","['BSD-2-Clause AND BSD-3-Clause']","['AQR Capital Management', 'Inc.', 'LLC', 'Lambda Foundry', 'PyData Development Team']"
"pandocfilters","https://github.com/jgm/pandocfilters","['BSD-3-Clause']","['John MacFarlane']"
"parso","https://github.com/davidhalter/parso","['MIT']","['David Halter']"
"pathspec","https://github.com/cpburnz/python-pathspec","['MPL-2.0']","['cpburnz']"
"pexpect","https://github.com/pexpect/pexpect","['ISC license']","['Noah Spurrier; Thomas Kluyver; Jeff Quast']"
"pillow","https://github.com/python-pillow/Pillow","['LicenseRef-scancode-secret-labs-2011', 'MIT-CMU']","['Bitstream, Inc.', 'Fredrik Lundh and contributors', 'Google LLC', 'Information Technology', 'Jeffrey A. Clark and contributors', 'Khaled Hosny', 'Roel Nieskens', 'Secret Labs AB', 'Tavmjong Bah', 'Tavmjung Bah']"
"pip","https://github.com/pypa/pip","['MIT']","['Andrey Petrov and contributors', 'Corporation for National Research Initiatives', 'Eric Larson', 'INADA Naoki', 'Kim Davies and contributors', 'Python Software Foundation', 'Seth Michael Larson', 'Stephen Rosen', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands', 'Taneli Hukkinen', 'The pip', 'The platformdirs', 'Thomas Kluyver', 'Tzu-ping Chung', 'Will McGugan']"
"platformdirs","https://github.com/tox-dev/platformdirs","['MIT']","['The platformdirs']"
"pluggy","https://github.com/pytest-dev/pluggy","['MIT']","['Holger Krekel']"
"prometheus-client","https://github.com/prometheus/client_python","['Apache-2.0']","['Robert Kaussow', 'The Prometheus Authors']"
"prompt-toolkit","https://github.com/prompt-toolkit/python-prompt-toolkit","['BSD-3-Clause']","['Jonathan Slenders']"
"propcache","https://github.com/aio-libs/propcache","['Apache-2.0']","['Andrew Svetlov']"
"protobuf","https://developers.google.com/protocol-buffers/","['3-Clause BSD License']","['protobuf@googlegroups.com']"
"psutil","https://github.com/giampaolo/psutil","['BSD-3-Clause']","['Giampaolo Rodola']"
"ptyprocess","https://github.com/pexpect/ptyprocess","['ISC']","['Thomas Kluyver']"
"pure-eval","https://github.com/alexmojaki/pure_eval","['MIT']","['Alex Hall']"
"pyarrow","https://github.com/apache/arrow","['Apache Software License']","['AQR Capital Management, LLC', 'ARM Ltd.', 'Adrian Colomitchi', 'Advanced Micro Devices, Inc.', 'Aleksei and Jeroen Ooms', 'Alexander Chemeris', 'Asylo', 'Bjoern Hoehrmann', 'Burnett01', 'Carnegie Mellon University', 'Cloudera Inc.', 'Cloudera, Inc.', 'Conan.io', 'Continuum Analytics, Inc.', 'Contributors', 'Cristian Adam', 'Daniel Lemire Home page Project', 'Daniel Stenberg', 'Dato, Inc.', 'Dremio Corporation', 'Dynamic NDArray', 'Eric Young', 'Facebook, Inc.', 'Facebook, Inc. and its affiliates. Home page', 'Florian Dang', 'Google Inc.', 'Google inc', 'Gregory Pakosz', 'Hewlett-Packard Development Company, L.P', 'Homebrew contributors', 'Howard Hinnant', 'Huawei Technologies Co., Ltd.', 'Jason Evans', 'Jean-loup Gailly and Mark Adler', 'Jeroen Ooms and Jim Hester', 'Joshua Piper', 'Jouni Malinen and contributors', 'Kitware, Inc.', 'Kitware, Inc. and Contributors', 'Lambda Foundry, Inc. and PyData Development Team', 'Los Alamos National Security, LLC.', 'Matt Terry and Matthew Brett', ""Melissa O'Neill , and the PCG Project contributors"", 'Mellanox Technologies Ltd.', 'Microsoft', 'Microsoft Corporation', 'Mozilla Foundation', 'NVIDIA CORPORATION.', 'Nemanja Trifunovic', 'NumPy Developers', 'Omer Ozarslan', 'Paul Thompson', 'RStudio and others', 'RStudio, Inc.', 'Ray Project', 'Rene Nyffenegger', 'Rich Felker', 'Sam Hocevar', 'Sebastian Pipping', 'Steinar H. Gunderson', 'Stony Brook University', 'THL A29 Limited, a Tencent company, and Milo Yip', 'The Apache Software Foundation', 'The Chromium Authors', 'The Go Authors', 'The Guava Authors', 'The LevelDB Authors', 'The OpenSSL Project', 'The RE2 Authors', 'The TensorFlow Authors', 'The University of Houston System', 'The University of Tennessee and The University of Tennessee Research Foundation', 'Tim Hudson', 'Tomasz Kaminski', 'UChicago Argonne, LLC.', 'UT-Battelle, LLC.', 'Weijia Song', 'Yann Collet', 'conda-forge', 'gRPC', 'https://code.google.com/p/mman-win32', 'manylinux Homepage', 'the Brotli Authors', 'the Massachusetts Institute of Technology', 'the V8 project authors', 'the mingw-w64 project Homepage']"
"pyarrow-hotfix","https://github.com/pitrou/pyarrow-hotfix","[' Version 2.0', 'Apache License']","['pitrou']"
"pycparser","https://github.com/eliben/pycparser","['BSD-3-Clause']","['Eli Bendersky']"
"pydantic","https://github.com/pydantic/pydantic","['MIT']","['Samuel Colvin']"
"pydantic_core","https://github.com/pydantic/pydantic-core","['MIT']","['Samuel Colvin']"
"pyparsing","https://github.com/pyparsing/pyparsing","['MIT']","['pyparsing']"
"pytest","https://github.com/pytest-dev/pytest","['MIT']","['. Distributed', 'Gregory Boissinot', 'Holger Krekel and others', 'holger krekel and pytest-dev team']"
"pytest-env","https://github.com/pytest-dev/pytest-env","['MIT']","['-202x The pytest-env']"
"python-dateutil","https://github.com/dateutil/dateutil","['Dual License']","['Gustavo Niemeyer']"
"python-json-logger","https://github.com/nhairs/python-json-logger","['BSD-2-Clause License']","['Timothee Mazzucotelli', 'Zakaria Zajac']"
"pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","['Apache-2.0']","['Lightning AI et al.']"
"pytz","https://pythonhosted.org/pytz","['MIT']","['Stuart Bishop']"
"pyyaml","pyyaml","['MIT']","['Ingy dot Net', 'Kirill Simonov']"
"pyzmq","https://github.com/zeromq/pyzmq","['BSD-3-Clause']","['Brian E. Granger', 'Min Ragan-Kelley']"
"referencing","https://github.com/python-jsonschema/referencing","['MIT']","['Julian Berman']"
"regex","https://github.com/mrabarnett/mrab-regex","['Apache-2.0', 'CNRI-Python']","['Matthew Barnett', 'Secret Labs AB']"
"requests","https://github.com/psf/requests","['Apache-2.0']","['Kenneth Reitz']"
"rfc3339-validator","https://github.com/naimetti/rfc3339-validator","['MIT license']","['Nicolas Aimetti']"
"rfc3986-validator","https://github.com/naimetti/rfc3986-validator","['MIT license']","['Nicolas Aimetti']"
"rfc3987-syntax","https://github.com/willynilly/rfc3987-syntax","['MIT']","['Jan Kowalleck']"
"rich","https://github.com/Textualize/rich","['MIT']","['Will McGugan']"
"rotary-embedding-torch","https://github.com/lucidrains/rotary-embedding-torch","['MIT']","['Phil Wang']"
"rpds-py","https://github.com/crate-py/rpds","['MIT']","['Julian Berman']"
"s3transfer","https://github.com/boto/s3transfer","['Apache License 2.0']","['Amazon Web Services']"
"safetensors","https://github.com/huggingface/safetensors","['Apache-2.0']","['huggingface']"
"scikit-learn","https://github.com/scikit-learn/scikit-learn","['BSD-2-Clause AND BSD-3-Clause']","['Aric Hagberg', 'Chih-Chung Chang and Chih-Jen Lin', 'David Cournapeau', 'David Warde-Farley', 'Donald Stufft and individual contributors', 'Fabian Pedregosa', 'Holger Krekel and others', 'INRIA', 'Jon Lund Steffensen', 'Leland McInnes', 'Olivier Grisel', 'OpenJS Foundation and other contributors', 'Python Software Foundation', 'Renato de Pontes Pereira', 'Steven Loria', 'The Bootstrap Authors', 'The LIBLINEAR Project', 'The scikit-learn', 'Twitter', 'University of Amsterdam', 'pandas', 'scikit-learn']"
"scipy","pypi:scipy","['BSD-3-Clause']","['Enthought', 'Inc.', 'SciPy Developers']"
"setuptools","https://github.com/pypa/setuptools","['MIT']","['Python Packaging Authority']"
"six","https://github.com/benjaminp/six","['MIT']","['Benjamin Peterson']"
"soupsieve","https://github.com/facelessuser/soupsieve","['MIT']","['Isaac Muse']"
"stack-data","https://github.com/alexmojaki/stack_data","['MIT']","['Alex Hall']"
"sympy","https://github.com/sympy/sympy","['BSD']","['SymPy development team']"
"tabulate","https://github.com/astanin/python-tabulate","['MIT']","['Sergey Astanin and contributors']"
"tensorboard","https://github.com/tensorflow/tensorboard","['Apache 2.0']","['Google Inc.']"
"tensorboard-data-server","https://github.com/tensorflow/tensorboard","['Apache 2.0']","['Google Inc.']"
"terminado","https://github.com/jupyter/terminado","['BSD-2-Clause']","['Jupyter development team', 'Ramalingam Saravanan']"
"threadpoolctl","https://github.com/joblib/threadpoolctl","['BSD-3-Clause']","['Thomas Moreau']"
"tinycss2","https://github.com/Kozea/tinycss2","['BSD-3-Clause']","['Simon Sapin and contributors']"
"tokenizers","https://github.com/huggingface/tokenizers","['Apache-2.0']","['N-API for Rust']"
"toolz","https://github.com/pytoolz/toolz","['BSD']","['https://raw.github.com/pytoolz/toolz/master/AUTHORS.md']"
"torch","pypi:torch","['BSD-3-Clause']","['PyTorch Team']"
"torch-optimi","https://github.com/warner-benjamin/optimi","['MIT']","['Benjamin Warner']"
"torchmetrics","https://github.com/Lightning-AI/torchmetrics","['Apache-2.0']","['Lightning-AI et al.']"
"tornado","https://github.com/tornadoweb/tornado","['Apache-2.0']","['Facebook']"
"toto-ts","pypi:toto-ts","['Apache-2.0']","['DataDog, Inc.']"
"tqdm","pypi:tqdm","['MIT AND MPL-2.0']","['Casper da Costa-Luis casperdcl (https://github.com/casperdcl)', 'Noam Yorav-Raphael', 'noamraph', 'original author']"
"traitlets","https://github.com/ipython/traitlets","['BSD-3-Clause License']","['IPython Development Team']"
"transformers","https://github.com/huggingface/transformers","['Apache-2.0']","['The Hugging Face team (past and future) with the help of all our contributors (https://github.com/huggingface/transformers/graphs/contributors)']"
"typeguard","pypi:typeguard","['MIT']","['Alex Grönholm']"
"types-PyYAML","https://github.com/python/typeshed","['Apache-2.0']","['Jukka Lehtosalo and contributors']"
"types-pyyaml","types-pyyaml","['Apache-2.0']","['Jukka Lehtosalo and contributors']"
"types-tabulate","https://github.com/python/typeshed","['Apache-2.0 AND MIT']","['Jukka Lehtosalo and contributors']"
"typing-extensions","https://github.com/python/typing_extensions","['(Python-2.0', '0BSD)', 'BSD-3-Clause', 'BSD-3-Clause)', 'Python-2.0']","['Corporation for National Research Initiatives', 'Python Software Foundation', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands']"
"typing-inspection","https://github.com/pydantic/typing-inspection","['MIT']","['Pydantic Services Inc.']"
"tzdata","https://github.com/python/tzdata","['Apache-2.0']","['Python Software Foundation']"
"uri-template","pypi:uri-template","['MIT License']","['Peter Linss']"
"urllib3","https://github.com/urllib3/urllib3","['MIT']","['Andrey Petrov and contributors']"
"wcwidth","https://github.com/jquast/wcwidth","['MIT']","['Jeff Quast']"
"webcolors","https://github.com/ubernostrum/webcolors","['BSD-3-Clause']","['James Bennett']"
"webencodings","https://github.com/gsnedders/python-webencodings","['BSD']","['Geoffrey Sneddon']"
"websocket-client","https://github.com/websocket-client/websocket-client","['Apache-2.0']","['liris']"
"widgetsnbextension","pypi:widgetsnbextension","['BSD 3-Clause License']","['Jupyter Development Team']"
"wrapt","https://github.com/GrahamDumpleton/wrapt","['BSD']","['Graham Dumpleton']"
"xxhash","https://github.com/ifduyue/python-xxhash","['BSD']","['Yue Du']"
"yarl","https://github.com/aio-libs/yarl","['Apache-2.0']","['Andrew Svetlov']"
